SECTION,STATION,COMPASS_X,COMPASS_Y,COMPASS_Z,LEFT,RIGHT,UP,DOWN,COMMENT,geometry
Rohrer Points,RSC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,POINT Z (0 0 0)
Rohrer Points,RM1,-71.96,21.59,27.79,0.0,0.0,0.0,0.0,,POINT Z (-71.96 21.59 27.79)
Rohrer Points,RM2,-144.36,9.21,9.48,0.0,0.0,0.0,0.0,,POINT Z (-144.36 9.21 9.48)
Rohrer Points,RM3,-207.03,-58.7,24.94,0.0,0.0,0.0,0.0,,POINT Z (-207.03 -58.7 24.94)
Rohrer Points,RM4,-364.64,-137.97,69.25,0.0,0.0,0.0,0.0,,POINT Z (-364.64 -137.97 69.25)
Rohrer Points,RM5,-449.05,-139.74,63.94,0.0,0.0,0.0,0.0,,POINT Z (-449.05 -139.74 63.94)
Rohrer Points,RM6,-400.96,-194.48,119.45,0.0,0.0,0.0,0.0,,POINT Z (-400.96 -194.48 119.45)
Rohrer Points,RM7,-219.09,-283.98,119.8,0.0,0.0,0.0,0.0,,POINT Z (-219.09 -283.98 119.8)
Rohrer Points,RM8,-293.17,-300.13,123.12,0.0,0.0,0.0,0.0,,POINT Z (-293.17 -300.13 123.12)
Rohrer Points,RM9,-271.57,-380.77,124.43,0.0,0.0,0.0,0.0,,POINT Z (-271.57 -380.77 124.43)
Rohrer Points,RM10,-198.96,-501.61,127.38,0.0,0.0,0.0,0.0,,POINT Z (-198.96 -501.61 127.38)
Rohrer Points,RM11,-150.28,-559.62,124.07,0.0,0.0,0.0,0.0,,POINT Z (-150.28 -559.62 124.07)
Rohrer Points,RM12,-69.12,-763.57,130.59,0.0,0.0,0.0,0.0,,POINT Z (-69.12 -763.57 130.59)
Rohrer Points,R35,254.71,-1829.42,68.31,0.0,0.0,0.0,0.0,,POINT Z (254.71 -1829.42 68.31)
Rohrer Points,B4,333.71,-1441.11,119.07,0.0,0.0,0.0,0.0,,POINT Z (333.71 -1441.11 119.07)
Rohrer Points,B3,489.7,-1293.6,67.92,0.0,0.0,0.0,0.0,,POINT Z (489.7 -1293.6 67.92)
Rohrer Points,R22,688.39,-946.66,103.61,0.0,0.0,0.0,0.0,,POINT Z (688.39 -946.66 103.61)
Rohrer Points,TP1,513.86,-535.49,69.24,0.0,0.0,0.0,0.0,,POINT Z (513.86 -535.49 69.24)
Rohrer Points,B1,593.06,-376.65,67.07,0.0,0.0,0.0,0.0,,POINT Z (593.06 -376.65 67.07)
Rohrer Points,R43,619.94,-443.18,64.44,0.0,0.0,0.0,0.0,,POINT Z (619.94 -443.18 64.44)
Rohrer Points,MR91.3C,-550.19,-176.35,41.86,0.0,0.0,0.0,0.0,,POINT Z (-550.19 -176.35 41.86)
Main Corridor_2019-12-09,R0,1753.93,417.08,752.5,30.0,50.0,0.0,50.0,RO is brass cap at drip line,POINT Z (1753.93 417.08 752.5)
Main Corridor_2019-12-09,R2,1704.29,358.35,756.53,40.0,30.0,50.0,5.0,,POINT Z (1704.29 358.35 756.53)
Main Corridor_2019-12-09,R1,1620.73,335.05,776.18,0.0,0.0,0.0,0.0,R1 is on top row of amphitheater seating,POINT Z (1620.73 335.05 776.18)
Main Corridor_2019-12-09,R3,1808.47,421.06,684.16,50.0,50.0,40.0,60.0,R3 ALSO NPS24,POINT Z (1808.47 421.06 684.16)
Main Corridor_2019-12-09,R4,2066.49,352.51,528.59,0.0,0.0,0.0,0.0,,POINT Z (2066.49 352.51 528.59)
Main Corridor_2019-12-09,R5,2000.81,351.46,536.24,0.0,0.0,0.0,0.0,R5 IS ALSO NPS21,POINT Z (2000.81 351.46 536.24)
Main Corridor_2019-12-09,R6,1589.62,250.24,522.11,0.0,0.0,0.0,0.0,,POINT Z (1589.62 250.24 522.11)
Main Corridor_2019-12-09,R7,1406.73,313.72,483.09,0.0,0.0,0.0,0.0,,POINT Z (1406.73 313.72 483.09)
Main Corridor_2019-12-09,R8,1327.91,226.48,392.87,0.0,0.0,0.0,0.0,,POINT Z (1327.91 226.48 392.87)
Main Corridor_2019-12-09,R9,1249.46,250.01,327.49,0.0,0.0,0.0,0.0,,POINT Z (1249.46 250.01 327.49)
Main Corridor_2019-12-09,R10,1078.79,224.89,389.52,0.0,0.0,0.0,0.0,R10 IS ALSO NPS-NSS2,POINT Z (1078.79 224.89 389.52)
Main Corridor_2019-12-09,R11,629.05,148.74,227.99,0.0,0.0,0.0,0.0,R11 IS ALSO NPS13,POINT Z (629.05 148.74 227.99)
Main Corridor_2019-12-09,R13,535.09,159.61,168.2,0.0,0.0,0.0,0.0,R13 IS ALSO NPS12,POINT Z (535.09 159.61 168.2)
Main Corridor_2019-12-09,R15,453.39,103.04,66.76,0.0,0.0,0.0,0.0,,POINT Z (453.39 103.04 66.76)
Main Corridor_2019-12-09,R16,496.68,2.03,121.79,0.0,0.0,0.0,0.0,,POINT Z (496.68 2.03 121.79)
Main Corridor_2019-12-09,R17,500.33,-105.25,148.43,0.0,0.0,0.0,0.0,,POINT Z (500.33 -105.25 148.43)
Main Corridor_2019-12-09,R18,605.27,-375.38,65.61,0.0,0.0,0.0,0.0,,POINT Z (605.27 -375.38 65.61)
Main Corridor_2019-12-09,*L17,795.86,-216.31,70.89,0.0,0.0,0.0,0.0,,POINT Z (795.86 -216.31 70.89)
Main Corridor_2019-12-09,BMO,793.29,-168.52,72.05,0.0,0.0,0.0,0.0,,POINT Z (793.29 -168.52 72.05)
Main Corridor_2019-12-09,RSC1,578.94,223.18,199.4,0.0,0.0,0.0,0.0,,POINT Z (578.94 223.18 199.4)
